ghostnet_layer,mobilenetv2,mobilenetv3,shufflenetv2,resnet18
blocks.6.0.ghost1.primary_conv.0,layers.13.layers.0.1,features.bottleneck_8.conv3.0,features.13.branch_main.6,
blocks.6.0.ghost1.primary_conv.1,layers.13.layers.1,features.bottleneck_8.conv3.1,features.13.branch_main.7,
blocks.6.0.ghost1.primary_conv.2,layers.13.layers.1.0,features.bottleneck_9,features.14,
blocks.6.0.ghost1.cheap_operation,layers.13.layers.1.1,features.bottleneck_9.conv1,features.14.branch_main,
blocks.6.0.ghost1.cheap_operation.0,layers.13.layers.1.2,features.bottleneck_9.conv1.0,features.14.branch_main.0,
blocks.6.0.ghost1.cheap_operation.1,layers.13.layers.2,features.bottleneck_9.conv1.1,features.14.branch_main.1,
blocks.6.0.ghost1.cheap_operation.2,layers.13.layers.2.0,features.bottleneck_9.conv1.2,features.14.branch_main.2,
blocks.6.0.ghost2,layers.13.layers.2.1,features.bottleneck_9.conv2,features.14.branch_main.3,
blocks.6.0.ghost2.primary_conv,layers.14,features.bottleneck_9.conv2.0,features.14.branch_main.4,
blocks.6.0.ghost2.primary_conv.0,layers.14.layers,features.bottleneck_9.conv2.1,features.14.branch_main.5,
blocks.6.0.ghost2.primary_conv.1,layers.14.layers.0,features.bottleneck_9.conv2.2,features.14.branch_main.6,
blocks.6.0.ghost2.primary_conv.2,layers.14.layers.0.0,features.bottleneck_9.se,features.14.branch_main.7,
blocks.6.0.ghost2.cheap_operation,layers.14.layers.0.1,features.bottleneck_9.se.avg_pool,features.15,
blocks.6.0.ghost2.cheap_operation.0,layers.14.layers.1,features.bottleneck_9.se.fc,features.15.branch_main,
blocks.6.0.ghost2.cheap_operation.1,layers.14.layers.1.0,features.bottleneck_9.se.fc.0,features.15.branch_main.0,
blocks.6.0.ghost2.cheap_operation.2,layers.14.layers.1.1,features.bottleneck_9.se.fc.1,features.15.branch_main.1,
blocks.6.0.shortcut,layers.14.layers.1.2,features.bottleneck_9.se.fc.2,features.15.branch_main.2,
blocks.6.1,layers.14.layers.2,features.bottleneck_9.se.fc.3,features.15.branch_main.3,
blocks.6.1.ghost1,layers.14.layers.2.0,features.bottleneck_9.conv3,features.15.branch_main.4,
blocks.6.1.ghost1.primary_conv,layers.14.layers.2.1,features.bottleneck_9.conv3.0,features.15.branch_main.5,
blocks.6.1.ghost1.primary_conv.0,layers.15,features.bottleneck_9.conv3.1,features.15.branch_main.6,
blocks.6.1.ghost1.primary_conv.1,layers.15.layers,features.bottleneck_10,features.15.branch_main.7,
blocks.6.1.ghost1.primary_conv.2,layers.15.layers.0,features.bottleneck_10.conv1,conv_last,
blocks.6.1.ghost1.cheap_operation,layers.15.layers.0.0,features.bottleneck_10.conv1.0,conv_last.0,
